TPropertyName	TPropertyValue	TThumbPath	TLabel	TCategory	TCategory2	TPath	TParentDir	TTags	TDescription	TParameter	TComment
Aissist-neg.pt	Aissist-neg.pt		Aissist-neg.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\Aissist-neg.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
AuroraNegative.pt	AuroraNegative.pt		AuroraNegative.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\AuroraNegative.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
bad-hands-5.pt	bad-hands-5.pt		bad-hands-5.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\bad-hands-5.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
badquality.pt	badquality.pt		badquality.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\badquality.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
bad_prompt.pt	bad_prompt.pt		bad_prompt.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\bad_prompt.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
bad_prompt_version2.pt	bad_prompt_version2.pt		bad_prompt_version2.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\bad_prompt_version2.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
EasyNegative.safetensors	EasyNegative.safetensors		EasyNegative.safetensors	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\EasyNegative.safetensors	embeddings	embeddings	=> LoadfromJson(filePath);		
EasyNegativeV2.safetensors	EasyNegativeV2.safetensors		EasyNegativeV2.safetensors	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\EasyNegativeV2.safetensors	embeddings	embeddings	=> LoadfromJson(filePath);		
FastNegativeV2.pt	FastNegativeV2.pt		FastNegativeV2.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\FastNegativeV2.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
KHFB.pt	KHFB.pt		KHFB.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\KHFB.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
nartfixer.pt	nartfixer.pt		nartfixer.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\nartfixer.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
negative_hand-neg.pt	negative_hand-neg.pt		negative_hand-neg.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\negative_hand-neg.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
nfixer.pt	nfixer.pt		nfixer.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\nfixer.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
nfixernext.pt	nfixernext.pt		nfixernext.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\nfixernext.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
ng_deepnegative_v1_75t.pt	ng_deepnegative_v1_75t.pt		ng_deepnegative_v1_75t.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\ng_deepnegative_v1_75t.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-1.pt	pixelart-1.pt		pixelart-1.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-1.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-2.pt	pixelart-2.pt		pixelart-2.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-2.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-3.pt	pixelart-3.pt		pixelart-3.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-3.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-hard.pt	pixelart-hard.pt		pixelart-hard.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-hard.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
pixelart-soft.pt	pixelart-soft.pt		pixelart-soft.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\pixelart-soft.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
re-badprompt.safetensors	re-badprompt.safetensors		re-badprompt.safetensors	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\re-badprompt.safetensors	embeddings	embeddings	=> LoadfromJson(filePath);		
verybadimagenegative_v1.3.pt	verybadimagenegative_v1.3.pt		verybadimagenegative_v1.3.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\verybadimagenegative_v1.3.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
wdbadprompt.pt	wdbadprompt.pt		wdbadprompt.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\wdbadprompt.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
wd_clearfixerv1.pt	wd_clearfixerv1.pt		wd_clearfixerv1.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\wd_clearfixerv1.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
wd_colorfixerv1.pt	wd_colorfixerv1.pt		wd_colorfixerv1.pt	sd	embeddings	D:\_Apps.AI.data\sd\embeddings\wd_colorfixerv1.pt	embeddings	embeddings	=> LoadfromJson(filePath);		
